article_id,full_name,sex,birth_year,death_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index
339091,Emperor Wu of Han,Male,-156,-88,Xi'an,,China,Asia,34.26667,108.9,Politician,Government,Institutions,45,1411912,31376,26.2175
93506,Artaxerxes II of Persia,Male,-436,-356,Other,,Unknown,Unknown,,,Politician,Government,Institutions,37,482038,13028,26.2163
17562,Leni Riefenstahl,Female,1902,2003,Berlin,,Germany,Europe,52.51667,13.38333,Film Director,Film And Theatre,Arts,59,4454010,75492,26.2135
80900,Ahmose I,Male,-1560,-1525,Thebes,,Egypt,Africa,25.72056,32.61028,Politician,Government,Institutions,41,1024024,24976,26.1914
7955693,Archduke Franz Ferdinand of Austria,Male,1863,1914,Graz,,Austria,Europe,47.06667,15.43333,Nobleman,Government,Institutions,70,7902362,112891,26.1885
15825,John Steinbeck,Male,1902,1968,Salinas,CA,United States,North America,36.67778,-121.65556,Writer,Language,Humanities,78,10127920,129845,26.1784
13066,George Gershwin,Male,1898,1937,New York,NY,United States,North America,40.69278,-73.99028,Composer,Music,Arts,59,5992072,101561,26.1782
38367,Oskar Schindler,Male,1908,1974,Svitavy,,Czech Republic,Europe,49.75556,16.46944,Businessperson,Business,Business & Law,51,13227107,259355,26.1743
63747,Muhammad Ali,Male,1942,2016,Louisville,KY,United States,North America,38.25,-85.76667,Boxer,Individual Sports,Sports,84,36149628,430353,26.1714
51487,Salvador Allende,Male,1908,1973,Valparaíso,,Chile,South America,-33.05,-71.61667,Politician,Government,Institutions,71,7470018,105212,26.1682
44059,Harrison Ford,Male,1942,2020,Chicago,IL,United States,North America,41.83694,-87.68472,Actor,Film And Theatre,Arts,63,23806375,377879,26.1672
21247,Neil Armstrong,Male,1930,2012,Auglaize County,OH,United States,North America,40.56,-84.22,Astronaut,Explorers,Exploration,121,27740982,229264,26.1661
53711,Antoine Henri Becquerel,Male,1852,1908,Paris,,France,Europe,48.8567,2.3508,Physicist,Natural Sciences,Science & Technology,72,2883893,40054,26.1656
197386,Padmasambhava,Male,700,800,Swat District,,Pakistan,Asia,35.38333,72.18333,Philosopher,Philosophy,Humanities,36,1060913,29470,26.1618
48927,Camille Saint-Saëns,Male,1835,1921,Paris,,France,Europe,48.8567,2.3508,Composer,Music,Arts,51,4346313,85222,26.1542
356714,Herod Antipas,Male,-20,39,Judea,,Israel,Asia,31.69889,35.30639,Politician,Government,Institutions,38,1856995,48868,26.1044
5698,Charles Babbage,Male,1791,1871,Teignmouth,,United Kingdom,Europe,50.5516,-3.48866,Inventor,Invention,Science & Technology,67,7274811,108579,26.1034
25767401,Joseph Fourier,Male,1768,1830,Auxerre,,France,Europe,47.7986,3.5672,Mathematician,Math,Science & Technology,86,1786471,20773,26.0915
289962,Smenkhkare,Male,-1350,-1334,Other,,Unknown,Unknown,,,Politician,Government,Institutions,35,682410,19497,26.0877
38938,John the Apostle,Male,6,100,Galilee,,Israel,Asia,32.91,35.631,Religious Figure,Religion,Institutions,45,3128673,69526,26.0863
87793,Joseph Louis Lagrange,Male,1736,1813,Turin,,Italy,Europe,45.06667,7.7,Mathematician,Math,Science & Technology,62,2149981,34677,26.0855
